date,activity_type,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length
2020-04-12 16:13:16,Cycling,Portland Cycling,4.91,209,00:30:32,104,136,0.5,0,0,9.6,16.3,108,13,0.0
2020-04-12 13:35:48,Cycling,Portland Cycling,5.44,299,00:40:30,109,136,0.6,0,0,8.1,16.2,20,190,0.0
2020-04-11 14:39:55,Cycling,Portland Cycling,15.53,808,01:14:38,131,170,2.5,0,0,12.5,28.2,610,581,0.0
2020-04-09 16:22:01,Running,Portland Running,2.02,322,00:19:42,162,175,3.2,158,176,9:44,8:46,56,66,1.04
2020-04-08 12:36:28,Running,Portland Running,2.0,286,00:18:21,151,176,3.0,162,178,9:09,7:32,16,39,1.08
2020-04-06 14:02:11,Running,Portland Running,4.01,651,00:40:21,161,180,4.0,159,176,10:04,7:53,66,98,1.01
2020-04-04 14:40:31,Running,Portland Running,2.01,288,00:18:28,151,166,3.1,161,172,9:11,8:07,26,52,1.09
2020-04-02 14:25:32,Running,Portland Running,2.01,293,00:18:23,156,177,3.1,162,180,9:08,7:17,20,49,1.09
2020-03-31 13:08:12,Running,Portland Running,3.01,486,00:29:42,163,177,3.6,159,181,9:53,7:33,30,69,1.02
2020-03-27 12:55:51,Running,Portland Running,2.0,314,00:20:32,152,176,2.9,160,182,10:15,2:31,13,62,0.98
2020-03-26 13:09:19,Cycling,Portland Cycling,10.75,318,00:47:57,102,156,1.0,0,0,13.5,24.9,482,489,0.0
2020-03-19 12:18:49,Running,Portland Running,3.12,501,00:29:42,165,181,3.7,162,180,9:32,7:36,33,72,1.04
2020-03-16 12:29:09,Running,Portland Running,3.01,493,00:31:05,157,171,3.3,159,180,10:20,8:57,43,69,0.98
2020-03-14 17:45:18,Running,Portland Running,1.01,140,00:08:31.7,160,178,2.4,163,182,8:27,7:04,43,39,1.17
2020-03-14 17:18:07,Running,Portland Running,2.01,316,00:19:30,158,170,3.1,157,171,9:41,8:44,49,52,1.06
2020-03-13 17:34:56,Running,Portland Running,1.46,158,00:14:57,128,151,1.3,133,213,10:14,4:38,46,56,1.19
2020-03-12 16:28:19,Running,Portland Running,2.0,321,00:20:18,156,170,3.0,156,167,10:08,9:08,16,46,1.02
2020-03-09 17:29:50,Cycling,Portland Cycling,3.86,171,00:18:55,115,144,1.0,0,0,12.2,22.5,272,98,0.0
2020-03-09 07:39:47,Cycling,Portland Cycling,3.52,180,00:13:40,135,166,2.1,0,0,15.4,25.8,43,233,0.0
2020-03-08 19:35:20,Indoor Running,Indoor Running,0.05,1,00:00:19.6,100,112,0.0,167,205,7:13,4:26,0,0,1.33
2020-03-08 19:31:45,Indoor Running,Indoor Running,0.05,2,00:00:17.8,111,119,0.0,154,215,6:19,3:31,0,0,1.66
2020-03-07 14:41:22,Running,Portland Running,5.0,812,00:50:39,160,184,4.0,158,180,10:07,8:27,105,154,1.01
2020-03-06 17:33:49,Cycling,Portland Cycling,3.82,238,00:17:27,140,181,2.4,0,0,13.1,22.4,272,85,0.0
2020-03-06 12:57:25,Walking,Portland Walking,0.65,90,00:16:24,93,111,0.2,56,116,25:13,15:37,69,49,1.13
2020-03-06 07:37:26,Cycling,Portland Cycling,3.5,151,00:13:14,126,158,1.4,0,0,15.9,26.5,39,223,0.0
2020-03-05 17:30:11,Cycling,Portland Cycling,3.86,224,00:17:24,135,184,2.4,0,0,13.3,23.6,269,98,0.0
2020-03-05 12:51:56,Walking,Portland Walking,1.1,149,00:20:17,105,118,0.3,101,114,18:31,11:27,49,46,0.86
2020-03-05 07:28:41,Cycling,Portland Cycling,3.53,102,00:14:28,102,138,0.4,0,0,14.6,26.3,43,230,0.0
2020-03-04 20:06:58,Walking,Portland Walking,3.0,405,01:02:36,102,117,0.4,98,120,20:51,14:18,75,52,0.79
2020-03-04 17:53:41,Running,Portland Running,2.01,324,00:19:19,165,175,3.2,159,210,9:37,8:33,43,30,1.05
2020-03-04 17:26:42,Cycling,Portland Cycling,3.82,164,00:18:40,112,161,1.5,0,0,12.3,22.6,259,89,0.0
2020-03-04 07:20:52,Cycling,Portland Cycling,3.52,148,00:12:55,126,162,1.9,0,0,16.4,28.1,43,226,0.0
2020-03-03 17:51:09,Cycling,Portland Cycling,3.83,204,00:17:19,129,174,2.2,0,0,13.3,24.1,266,98,0.0
2020-03-03 12:21:47,Walking,Portland Walking,2.25,310,00:44:22,78,100,0.6,98,192,19:45,14:22,108,105,0.84
2020-03-03 07:39:21,Cycling,Portland Cycling,3.52,138,00:14:01,119,177,1.2,0,0,15.1,30.1,39,243,0.0
2020-03-02 20:19:44,Walking,Portland Walking,1.95,267,00:35:57,97,111,0.5,103,113,18:25,16:04,46,33,0.85
2020-03-02 17:36:51,Cycling,Portland Cycling,3.84,178,00:17:41,120,170,1.6,0,0,13.0,25.3,272,102,0.0
2020-03-02 12:10:10,Walking,Portland Walking,1.29,182,00:27:40,102,117,0.4,95,120,21:26,12:20,66,49,0.79
2020-03-02 07:30:57,Cycling,Portland Cycling,3.53,130,00:15:02,112,167,1.0,0,0,14.1,21.6,39,223,0.0
